Name,Category,Ingredients
Spaghetti with Lobster, First Courses, "[['Spaghetti', '400g'], ['Lobster', '1kg'], ['Shallot', '50g'], ['Garlic', '2'], [""Extra Virgin Olive Oil"", '30g'], ['Parsley', '30g'], ['Tomato Puree', '750g'], ['White Wine', '60g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste']]"
Lasagna Bolognese,Main courses,"[['Remilled durum wheat semolina', '350g'], ['Flour', '150g'], ['Spinach', '250g'], ['Eggs', '2'], ['Egg yolks', '3'], ['Beef', '300g'], ['Pancetta', '150g'], ['Carrots', '50g'], ['Celery', '50g'], ['Golden onions', '50g'], ['Red wine', '100g'], ['Tomato sauce', '300g'], ['Vegetable broth', 'to taste'], ['Extra virgin olive oil', '1 tablespoon'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Butter', '70g'], ['Flour', '70g'], ['Whole milk', '1l'], ['Fine salt', 'to taste'], ['Nutmeg', 'to taste'], ['Butter', 'to taste'], ['Parmigiano Reggiano PDO', '270g']]"
Tiramisu,Desserts,"[['Mascarpone', '750g'], ['Eggs', '260g'], ['Ladyfingers', '250g'], ['Sugar', '120g'], ['Coffee', '300g'], ['Unsweetened cocoa powder', 'to taste']]"
Cookies,Desserts,"[['Flour', '195g'], ['Butter', '100g'], ['Baking soda', '1 pinch'], ['Eggs', '55g'], ['Brown sugar', '100g'], ['Sugar', '100g'], ['Dark chocolate chips', '200g'], ['Fine salt', '1 pinch']]"
Pancakes with Maple Syrup,Desserts,"[['Butter', '25g'], ['Flour', '125g'], ['Eggs', '2'], ['Whole milk', '200g'], ['Baking powder', '6g'], ['Sugar', '15g'], ['Maple syrup', 'to taste']]"
Mascarpone Cream,Desserts,"[['Mascarpone', '500g'], ['Sugar', '125g'], ['Egg yolks', '4'], ['Water', '50g'], ['Unsweetened cocoa powder', 'to taste']]"
Sweet and Savory Crepes (Basic Recipe),Desserts,"[['Eggs', '3'], ['Flour', '250g'], ['Whole milk', '500ml'], ['Butter', 'to taste']]"
Pizza Dough,Leavened,"[['Manitoba flour', '200g'], ['Flour', '300g'], ['Water', '300ml'], ['Fine salt', '10g'], ['Fresh yeast', '54g']]"
Spaghetti Carbonara,Main courses,"[['Spaghetti', '320g'], ['Guanciale', '150g'], ['Egg yolks', '6'], ['Pecorino Romano', '50g'], ['Black pepper', 'to taste']]"
Molten Chocolate Cake,Desserts,"[['70% dark chocolate', '110g'], ['Butter', '110g'], ['Eggs', '120g'], ['Sugar', '40g'], ['Flour', '25g'], ['Butter', 'to taste'], ['Flour', 'to taste'], ['Powdered sugar', 'to taste']]"
Pastry Cream,Desserts,"[['Whole milk', '500g'], ['Sugar', '130g'], ['Egg yolks', '125g'], ['Rice starch', '40g'], ['Vanilla pod', '2'], ['Lemon zest', '½']]"
Spaghetti with Clams,Main courses,"[['Spaghetti', '320g'], ['Clams', '1kg'], ['Garlic', '1'], ['Parsley', '1'], ['Extra virgin olive oil', 'to taste'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Coarse salt', 'to taste']]"
Braised Beef in Barolo,Main courses,"[['Beef', '1kg'], ['Barolo wine', '750ml'], ['Carrots', '160g'], ['Celery', '100g'], ['Golden onions', '180g'], ['Garlic', '1'], ['Rosemary', '1'], ['Bay leaves', '2'], ['Cloves', '3'], ['Black peppercorns', '4'], ['Cinnamon stick', '1'], ['Butter', '15g'], ['Extra virgin olive oil', '50g'], ['Fine salt', 'to taste']]"
Chocolate Chip Muffins,Desserts,"[['Butter', '125g'], ['Flour', '265g'], ['Sugar', '135g'], ['Whole milk', '135g'], ['Eggs', '110g'], ['Dark chocolate chips', '100g'], ['Vanilla pod', '1'], ['Baking soda', '1 teaspoon'], ['Fine salt', '1 pinch'], ['Baking powder', '10g']]"
Spaghetti Amatriciana,Main courses,"[['Spaghetti', '320g'], ['Peeled tomatoes', '400g'], ['Guanciale', '150g'], ['Pecorino Romano', '75g'], ['Fine salt', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Fresh chili pepper', '1'], ['White wine', '50g']]"
Sicilian Cannoli,Desserts,"[['Flour', '260g'], ['Sugar', '20g'], ['Lard', '30g'], ['Unsweetened cocoa powder', '5g'], ['Fine salt', '1 teaspoon'], ['Eggs', '20g'], ['White wine vinegar', '10g'], ['Marsala wine', '60g'], ['Sheep ricotta', '1kg'], ['Sugar', '130g'], ['Dark chocolate chips', '80g'], ['Eggs', 'to taste'], ['Seed oil', '1l'], ['Candied cherries', 'to taste'], ['Powdered sugar', 'to taste'], ['Chopped pistachios', 'to taste'], ['Candied orange', 'to taste']]"
Tenerina Cake,Desserts,"[['Dark chocolate', '200g'], ['Butter', '100g'], ['Eggs', '4'], ['Sugar', '150g'], ['Flour', '50g'], ['Powdered sugar', 'to taste']]"
Brownies,Desserts,"[['Dark chocolate', '265g'], ['Eggs', '200g'], ['Blanched whole hazelnuts', '175g'], ['Butter', '135g'], ['Flour', '135g'], ['Sugar', '255g'], ['Fine salt', '1 pinch']]"
Baked Potatoes,Sides,"[['Potatoes', '1kg'], ['Rosemary', '2 sprigs'], ['Garlic', '2 cloves'], ['Extra virgin olive oil', '30g'], ['Fine salt', 'to taste'], ['Thyme', '2 sprigs'], ['Extra virgin olive oil', 'to taste']]"
Fresh Egg Pasta (Dough and Shapes),Main courses,"[['Eggs', '4'], ['Flour', '400g']]"
Wine Cookies,Desserts,"[['White wine', '135g'], ['Flour', '500g'], ['Seed oil', '125g'], ['Sugar', '150g'], ['Anise seeds', '½ teaspoon'], ['Baking powder', '8g'], ['Fine salt', '1 pinch'], ['Sugar', 'to taste']]"
Gratinated Scallops,Appetizers,"[['Scallops', '8'], ['Bread', '100g'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Extra virgin olive oil', '40g'], ['Lemon zest', '1'], ['Parsley', 'to taste'], ['Thyme', 'to taste'], ['Marjoram', 'to taste']]"
Roast Beef,Main courses,"[['Beef sirloin', '1kg'], ['Salt', 'to taste'], ['Black pepper', 'to taste'], ['Extra virgin olive oil', '30g'], ['Garlic', '1'], ['Thyme', 'to taste'], ['Rosemary', 'to taste'], ['Sage', 'to taste'], ['Vegetable broth', '1 glass']]"
Fluffy Brioche Leavened Cake,Desserts,"[['Manitoba flour', '165g'], ['Flour', '165g'], ['Eggs', '165g'], ['Whole milk', '40g'], ['Butter', '165g'], ['Caster sugar', '45g'], ['Vanilla extract', '1 teaspoon'], ['Orange juice', '20g'], ['Fresh yeast', '10g'], ['Fine salt', '3g'], ['Orange zest', 'to taste'], ['Butter', 'to taste'], ['Flour', 'to taste'], ['Powdered sugar', 'to taste']]"
Pizza,Main courses,"[['Pizza dough', '1 batch'], ['Tomato puree', '250g'], ['Mozzarella cheese', '300g'], ['Extra virgin olive oil', 'to taste'], ['Basil', 'to taste'], ['Fine salt', 'to taste']]"
Tuna and Ricotta Balls, Second Courses, "[[""Canned Tuna"", '230g'], ['Cow's Ricotta', '200g'], ['Anchovies', '20g'], ['Salted Capers', '20g'], ['Breadcrumbs', '50g'], ['Parsley', '8g'], ['Eggs', '2'], ['Parmigiano Reggiano DOP', '50g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Breadcrumbs', '40g'], ['Peanut Oil', 'to taste']]"
Pumpkin Cream, First Courses, "[['Pumpkin', '1kg'], ['Potatoes', '200g'], ['Vegetable Broth', '1l'], ['White Onions', '80g'], ['Black Pepper', 'a pinch'], ['Salt', 'a pinch'], [""Extra Virgin Olive Oil"", '60g'], ['Ground Cinnamon', 'a pinch'], ['Nutmeg', 'a pinch'], [""Extra Virgin Olive Oil"", '30g'], ['Homemade Bread', '100g']]"
Calamarata, First Courses, "[['Calamarata Pasta', '400g'], ['Squid', '600g'], ['Garlic', '1'], ['Fresh Chili', '1'], ['Parsley', '1'], ['Cherry Tomatoes', '400g'], ['White Wine', '60g'], ['Triple Concentrated Tomato Paste', '25g'], ['Salt', 'to taste'], ['Black Pepper', 'to taste'], [""Extra Virgin Olive Oil"", 'to taste']]"
Cannelloni, First Courses, "[['Flour', '100g'], ['Eggs', '1'], ['Whole Milk', '300g'], ['Butter', '20g'], ['Flour', '20g'], ['Nutmeg', 'to taste'], ['Fine Salt', 'a pinch'], ['Sausage', '200g'], ['Beef', '300g'], ['Parmigiano Reggiano DOP', '100g'], [""Extra Virgin Olive Oil"", 'to taste'], ['Onions', '80g'], ['Celery', '60g'], ['Carrots', '80g'], ['Red Wine', '50g'], ['Fine Salt', 'a pinch'], ['Black Pepper', 'a pinch'], ['Tomato Puree', '300g'], ['Parmigiano Reggiano DOP', '15g']]"
Shortcrust Pastry, Desserts, "[['Eggs', '110g'], ['Flour', '500g'], ['Powdered Sugar', '200g'], ['Butter', '250g'], ['Lemon Zest', '1']]"
Savory Croissants, Appetizers, "[['Puff Pastry', '460g'], ['Rolled Bacon', '50g'], ['Edam Cheese', '50g'], ['Sesame Seeds', '1 tablespoon'], ['Smoked Salmon', '100g'], ['Robiola Cheese', '50g'], ['Parsley', 'to taste'], ['Basil', 'to taste'], ['Black Sesame Seeds', '1 tablespoon'], ['Egg Yolks', '1'], ['Whole Milk', 'to taste'], ['Water', 'to taste']]"
Spaghetti with Seafood, First Courses, "[['Spaghetti', '320g'], ['Mussels', '1kg'], ['Clams', '1kg'], ['Squid', '300g'], ['Scampi', '8'], ['Cherry Tomatoes', '300g'], [""Extra Virgin Olive Oil"", '4'], ['Garlic', '1'], ['Parsley', '1'], ['White Wine', '40g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste']]"
Bread Dough, Leavened, "[['Manitoba Flour', '150g'], ['Flour', '350g'], ['Water', '350g'], ['Fresh Yeast', '7g'], ['Fine Salt', '8g'], ['Malt', '1 teaspoon']]"
Genoese Focaccia (Fügassa), Leavened, "[['Flour', '400g'], ['Manitoba Flour', '250g'], ['Water', '335g'], ['Fine Salt', '13g'], ['Malt', '10g'], ['Fresh Yeast', '18g'], [""Extra Virgin Olive Oil"", '30g'], [""Extra Virgin Olive Oil"", '30g'], [""Extra Virgin Olive Oil"", '60g'], ['Salt', '10g'], ['Water', '200g']]"
Chocolate Muffins, Desserts, "[['Unsweetened Cocoa Powder', '70g'], ['Flour', '300g'], ['Sugar', '300g'], ['Butter', '150g'], ['Dark Chocolate', '100g'], ['Eggs', '220g'], ['Whole Milk', '180g'], ['Baking Powder', '6g'], ['Baking Soda', '2g']]"
Meatballs in Sauce, Second Courses, "[['Beef', '220g'], ['Sausage', '165g'], ['Stale Bread', '30g'], ['Parmigiano Reggiano DOP', '25g'], ['Eggs', '1'], ['Parsley', '1 tablespoon'], ['Oregano', 'a pinch'], ['Nutmeg', 'a pinch'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], [""Extra Virgin Olive Oil"", 'to taste'], ['Tomato Puree', '350g'], ['Water', '50g'], ['Fine Salt', '5g'], ['Oregano', 'to taste'], ['Black Pepper', 'to taste']]"
Potato Gnocchi, First Courses, "[['Red Potatoes', '1kg'], ['Flour', '300g'], ['Eggs', '1'], ['Fine Salt', 'to taste'], ['Semolina Flour', 'to taste'], ['Red Potatoes', '1kg'], ['Flour', '350g'], ['Fine Salt', '15g'], ['Semolina Flour', 'to taste']]"
Sorrento Gnocchi, First Courses, "[['Red Potatoes', '1kg'], ['Flour', '300g'], ['Eggs', '1'], ['Fine Salt', 'to taste'], ['Semolina', 'to taste'], ['Tomato Puree', '600g'], ['Basil', '6'], ['Garlic', '1'], [""Extra Virgin Olive Oil"", 'to taste'], ['Fine Salt', 'to taste'], ['Mozzarella', '250g'], ['Parmigiano Reggiano DOP', '70g']]"
Steamed Chinese Ravioli, First Courses, "[['Flour', '250g'], ['Water', '115g'], ['Fine Salt', 'a pinch'], ['Pork', '250g'], ['Cabbage', '80g'], ['Green Onions', '30g'], ['Water', '40g'], ['Rice Wine', '10g'], ['Soy Sauce', '2'], ['Fine Salt', 'to taste'], ['White Pepper', 'to taste'], ['Cabbage', '1']]"
Soft Focaccia, Leavened, "[['Flour', '500g'], ['Water', '300g'], [""Extra Virgin Olive Oil"", '20g'], ['Fine Salt', '5g'], ['Fresh Yeast', '4g'], ['Flakes of Salt', 'to taste'], ['Rosemary', 'to taste'], [""Extra Virgin Olive Oil"", '30g'], ['Water', '15g'], [""Extra Virgin Olive Oil"", 'to taste']]"
Ricotta and Spinach Cannelloni, First Courses, "[['Flour', '100g'], ['Eggs', '55g'], ['Spinach', '250g'], ['Cow's Ricotta', '150g'], ['Eggs', '1'], ['Garlic', '1'], [""Extra Virgin Olive Oil"", 'to taste'], ['Grana Padano DOP', '50g'], ['Nutmeg', 'a pinch'], ['Black Pepper', 'to taste'], ['Fine Salt', 'to taste'], ['Whole Milk', '500g'], ['Flour', '37g'], ['Butter', '50g'], ['Fine Salt', 'a pinch'], ['Nutmeg', 'to taste'], ['Black Pepper', 'a pinch'], ['Grana Padano DOP', 'to taste']]"
Chickpea Frittata, Savory Pies, "[['Water', '900ml'], ['Chickpea Flour', '300g'], [""Extra Virgin Olive Oil"", '50g'], ['Fine Salt', '10g'], [""Extra Virgin Olive Oil"", '70g']]"
Caprese Cake, Desserts, "[['Dark Chocolate 50%', '170g'], ['Peeled Almonds', '85g'], ['Peeled Hazelnuts', '85g'], ['Powdered Sugar', '170g'], ['Butter', '170g'], ['Potato Starch', '25g'], ['Unsweetened Cocoa Powder', '14g'], ['Egg Whites', '148g'], ['Egg Yolks', '85g'], ['Baking Powder', '4g'], ['Vanilla Bean', '½'], ['Fine Salt', 'a pinch'], ['Powdered Sugar', 'to taste']]"
Pumpkin Velouté, First Courses, "[['Vegetable Broth', '800g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Nutmeg', 'a pinch'], ['Leeks', '130g'], ['Pumpkin', '1kg'], ['Fresh Liquid Cream', '100g'], [""Extra Virgin Olive Oil"", '40g']]"
Shrimp Cocktail, Appetizers, "[['Shrimp', '16'], ['Iceberg Lettuce', '60g'], ['Lemons', '4'], ['Egg Yolks', '1'], ['Sunflower Oil', '120g'], ['Lemon Juice', '15g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Ketchup', '45g'], ['Worcestershire Sauce', '1 teaspoon'], ['Tabasco®', 'to taste'], ['Brandy', '1 teaspoon']]"
Veal Stew with Potatoes, Second Courses, "[['Veal', '1kg'], ['Potatoes', '1kg'], ['Carrots', '1'], ['Celery', '1'], ['White Onions', '1'], [""Extra Virgin Olive Oil"", '20g'], ['Beef Broth', '1l'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Flour', '20g'], ['White Wine', '50g'], ['Sage', '1'], ['Rosemary', '1'], ['Thyme', '1']]"
Red Velvet Cake, Desserts, "[['Butter', '150g'], ['Sugar', '375g'], ['Eggs', '120g'], ['Fine Salt', '5g'], ['Vanilla Bean', '1'], ['Food Coloring', '30g'], ['Unsweetened Cocoa Powder', '50g'], ['Natural Plain Yogurt', '300g'], ['Flour', '375g'], ['Baking Powder', '10g'], ['White Wine Vinegar', '30g'], ['Cream Cheese', '525g'], ['Butter', '150g'], ['Powdered Sugar', '300g'], ['Lemon Zest', '1'], ['Raspberries', 'to taste'], ['Edible Gold', 'to taste'], ['Meringues', 'to taste']]"
Cinnamon Rolls, Leavened, "[['Sugar', '60g'], ['Flour', '615g'], ['Dry Yeast', '5g'], ['Fine Salt', '5g'], ['Water', '120g'], ['Whole Milk', '120g'], ['Butter', '80g'], ['Eggs', '55g'], ['Sugar', '110g'], ['Ground Cinnamon', '15g'], ['Butter', '15g'], ['Powdered Sugar', '200g'], ['Water', 'to taste']]"
Chocolate Profiteroles, Desserts, "[['Water', '62g'], ['Whole Milk', '62g'], ['Butter', '55g'], ['Fine Salt', '3g'], ['Sugar', '8g'], ['Flour', '77g'], ['Eggs', '120g'], ['Egg Yolks', '1'], ['Water', 'to taste'], ['Fresh Liquid Cream', '250g'], ['Powdered Sugar', '50g'], ['Vanilla Bean', '1'], ['Water', '200g'], ['Dark Chocolate', '450g'], ['Fresh Liquid Cream', '80g'], ['Sugar', '150g'], ['Flakes of Salt', '1 pinch']]"
Panettone with Yeast, Leavened, "[['Manitoba Flour', '50g'], ['Fresh Yeast', '3g'], ['Malt', '1 teaspoon'], ['Whole Milk', '30g'], ['Manitoba Flour', '25g'], ['Flour', '110g'], ['Fresh Yeast', '4g'], ['Eggs', '85g'], ['Sugar', '40g'], ['Butter', '45g'], ['Flour', '75g'], ['Eggs', '53g'], ['Egg Yolks', '30g'], ['Sugar', '50g'], ['Butter', '45g'], ['Lemon Zest', '1'], ['Vanilla Bean', '1'], ['Candied Orange', '20g'], ['Candied Citron', '20g'], ['Raisins', '60g'], ['Fine Salt', '3g'], ['Butter', 'to taste']]"
Ricotta and Spinach Ravioli, First Courses, "[['Flour', '250g'], ['Eggs', '1124g'], ['Semolina', 'to taste'], ['Spinach', '250g'], ['Cow's Ricotta', '125g'], ['Parmigiano Reggiano DOP', '50g'], ['Nutmeg', 'to taste'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste']]"
Gratin Onion Soup, First Courses, "[['Golden Onions', '500g'], ['Beef Broth', '1l'], ['Butter', '50g'], [""Extra Virgin Olive Oil"", '30g'], ['Flour', '20g'], ['Sugar', '5g'], ['Black Pepper', 'to taste'], ['Fine Salt', 'to taste'], ['Baguette', '8'], ['Emmental', '100g']]"
Cantonese Rice, First Courses, "[['Ribe Rice', '200g'], ['Peas', '50g'], ['Cooked Ham', '30g'], ['Eggs', '2'], ['Water', 'to taste'], ['Rice Wine', 'to taste'], ['Peanut Oil', 'to taste'], ['Chives', 'to taste'], ['Fine Salt', 'to taste']]"
Christmas Almond Cookies, Desserts, "[['Flour', '300g'], ['Almond Flour', '120g'], ['Sugar', '120g'], ['Butter', '180g'], ['Egg Yolks', '2'], ['Vanilla Bean', '1'], ['Egg Whites', '1'], ['Powdered Sugar', '120g']]"
Pasta alla Gricia, First Courses, "[['Rigatoni', '320g'], ['Guanciale', '250g'], ['Pecorino Romano', '60g'], ['Fine Salt', 'to taste']]"
Chocolate Salami, Desserts, "[['Dark Chocolate', '200g'], ['Butter', '100g'], ['Dry Biscuits', '100g'], ['Sugar', '150g'], ['Rum', '10g'], ['Unsweetened Cocoa Powder', '10g'], ['Powdered Sugar', 'to taste']]"
Ricotta Tart, Desserts, "[['Powdered Sugar', '140g'], ['Flour', '350g'], ['Egg Yolks', '2'], ['Butter', '220g'], ['Lemon Zest', '1'], ['Cow's Ricotta', '500g'], ['Sugar', '175g'], ['Egg Yolks', '2'], [""Orange Zest"", '1'], ['Ground Cinnamon', 'a pinch'], ['Dark Chocolate Chips', '40g']]"
Veal Tonnato, Appetizers, "[['Veal', '800g'], ['Celery', '1'], ['Carrots', '1'], ['Golden Onions', '1'], ['Garlic', '1'], ['White Wine', '250g'], ['Water', '5l'], ['Bay Leaf', '1'], ['Cloves', '3'], [""Extra Virgin Olive Oil"", '3'], ['Black Peppercorns', '½'], ['Fine Salt', '2 pinches'], ['Eggs', '2'], [""Canned Tuna"", '100g'], [""Canned Anchovies"", '3'], ['Salted Capers', '5g'], ['Capers', 'to taste']]"
Baked Pasta, First Courses, "[['Rigatoni', '600g'], ['Eggs', '4'], ['Parmigiano Reggiano DOP', '3'], ['Scamorza Cheese', '300g'], ['Pork', '250g'], ['Sausage', '150g'], ['Parmigiano Reggiano DOP', '100g'], ['Bread', '100g'], ['Parsley', '2'], ['Eggs', '2'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Nutmeg', 'a pinch'], ['Tomato Puree', '1l'], ['White Onions', '1'], ['Garlic', '1'], [""Extra Virgin Olive Oil"", '4'], ['Fine Salt', 'to taste'], ['Basil', '5'], ['Black Pepper', 'to taste'], ['Whole Milk', '1l'], ['Flour', '80g'], ['Butter', '80g'], ['Fine Salt', 'to taste'], ['Nutmeg', 'a pinch']]"
Beef Stew, Second Courses, "[['Beef', '1kg'], ['Beef Broth', '5l'], ['Onions', '1'], ['Carrots', '1'], ['Celery', '1'], ['Red Wine', '1'], [""Extra Virgin Olive Oil"", '4'], ['Butter', '30g'], ['Flour', '30g'], ['Rosemary', '1'], ['Thyme', '1'], ['Sage', '3'], ['Black Pepper', 'to taste'], ['Fine Salt', 'to taste']]"
Orecchiette with Broccoli Rabe, First Courses, "[['Broccoli Rabe', '1kg'], ['Breadcrumbs', '50g'], ['Fine Salt', 'to taste'], ['Garlic', '1'], [""Canned Anchovies"", '3'], [""Extra Virgin Olive Oil"", '30g'], ['Water', '100g'], ['Semolina Flour', '200g'], ['Fine Salt', 'to taste']]"
Lemon Chicken, Second Courses, "[['Chicken Breast', '600g'], ['Flour', 'to taste'], [""Extra Virgin Olive Oil"", 'to taste'], ['Oregano', 'to taste'], ['Lemon Zest', '1'], ['Lemon Juice', '100g'], ['Water', '200g'], ['Cornstarch', '20g'], ['Sugar', '10g'], ['Fine Salt', 'to taste'], ['Soy Sauce', '10g']]"
Osso Buco Milanese, Second Courses, "[['Veal Shanks', '300g12kg'], ['Beef Broth', '500g'], ['Golden Onions', '250g'], ['Flour', '50g'], ['White Wine', '50g'], [""Extra Virgin Olive Oil"", '50g'], ['Butter', '40g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Parsley', '1'], ['Garlic', '2'], ['Lemon Zest', '1']]"
Gratinated Mussels, Appetizers, "[['Mussels', '500g'], ['Breadcrumbs', '100g'], ['Grana Padano DOP', '1 tablespoon'], ['Garlic', '1'], ['Lemon Zest', '1'], ['Parsley', '10g'], [""Extra Virgin Olive Oil"", '30g'], ['Black Pepper', 'to taste']]"
Macarons, Desserts, "[['Almond Flour', '125g'], ['Powdered Sugar', '125g'], ['Egg Whites', '875g'], ['Sugar', '135g'], ['Water', '32g'], ['Fresh Liquid Cream', '90g'], ['White Chocolate', '180g'], ['Butter', '12g'], ['Vanilla Bean', '1']]"
Apple Strudel, Desserts, "[['Flour', '130g'], ['Water', '30ml'], ['Seed Oil', '9g'], ['Eggs', '54g'], ['Salt', 'a pinch'], ['Golden Apples', '750g'], ['Sugar', '60g'], ['Breadcrumbs', '60g'], ['Butter', '50g'], ['Raisins', '50g'], ['Pine Nuts', '25g'], ['Ground Cinnamon', '1 teaspoon'], ['Rum', '2'], ['Lemon Zest', '1'], ['Powdered Sugar', 'to taste']]"
Milk Buns, Leavened, "[['Manitoba Flour', '150g'], ['Flour', '350g'], ['Fresh Yeast', '7g'], ['Whole Milk', '300g'], ['Butter', '50g'], ['Sugar', '60g'], ['Fine Salt', '7g'], ['Eggs', '1'], ['Whole Milk', '20g']]"
Hummus, Appetizers, "[['Cooked Chickpeas', '600g'], ['Sesame Seeds', '100g'], ['Water', '150g'], ['Lemon Juice', '½'], ['Sesame Oil', '30g'], ['Paprika', '1 teaspoon'], ['Garlic', '1'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste'], ['Parsley', '1']]}"
Filetto in crosta,Second Courses,"[['Beef fillet', '800g'], ['Raw ham', '200g'], ['Champignon mushrooms', '400g'], ['Garlic', '1'], ['Butter', '20g'], ['Extra virgin olive oil', '6'], ['Egg yolks', '1'], ['Fresh liquid cream', '30ml'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Pasta brisé', '250g']]"
Pan di Spagna,Desserts,"[['Eggs', '5'], ['Sugar', '150g'], ['Vanilla bean', '1'], ['Flour', '75g'], ['Potato starch', '75g'], ['Fine salt', 'a pinch']]"
Biscotti con gocce di cioccolato,Desserts,"[['Chocolate chips', '100g'], ['Flour', '500g'], ['Eggs', '2'], ['Brown sugar', '200g'], ['Vanilla bean', '1'], ['Baking soda', '3g'], ['Fine salt', 'a pinch'], ['Butter', '180g']]"
Risotto ai frutti di mare,First Courses,"[['Carnaroli rice', '320g'], ['Mussels', '1kg'], ['Clams', '500g'], ['Squid', '350g'], ['Shrimp', '300g'], ['Parsley', '1'], ['Garlic', '2'], ['White wine', '90g'], ['Vegetable broth', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Butter', '70g'], ['Fresh spring onion', '50g'], ['Celery', '25g'], ['Carrots', '25g'], ['Chili pepper', '1'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Salmone croccante,Second Courses,"[['Salmon fillet', '250g1kg'], ['Bread', '100g'], ['Parsley', '1'], ['Dill', '1'], ['Thyme', '4'], ['Rosemary', '2'], ['Lemon zest', '1'], ['Extra virgin olive oil', '50g'], ['White peppercorns', '1 teaspoon'], ['Fine salt', 'to taste']]"
Biscotti semplici decorati,Desserts,"[['Flour', '300g'], ['Powdered sugar', '100g'], ['Butter', '100g'], ['Eggs', '110g'], ['Lemon zest', '½'], ['Baking powder for desserts', '2g'], ['Powdered sugar', '250g'], ['Water', '40g'], ['Food colorings', 'to taste']]"
Flan di zucca,Antipasti,"[['Pumpkin', '500g'], ['Parmigiano Reggiano DOP', '100g'], ['Whole milk', '1 tablespoon'], ['Extra virgin olive oil', 'to taste'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Rosemary', 'to taste'], ['Nutmeg', 'to taste'], ['Eggs', '4'], ['Goat cheese', '240g'], ['Fresh liquid cream', '100ml'], ['Black pepper', 'to taste'], ['Fine salt', '1 pinch'], ['Butter', 'to taste']]"
Cream tart,Desserts,"[['Flour', '140g'], ['Almond flour', '125g'], ['Butter', '125g'], ['Eggs', '50g'], ['Sugar', '25g'], ['Fresh liquid cream', '200g'], ['Mascarpone', '200g'], ['Powdered sugar', '50g'], ['Vanilla bean', '½'], ['Macarons', '4'], ['Strawberries', 'to taste'], ['Blackberries', 'to taste'], ['Dark chocolate', 'to taste'], ['Powdered sugar', 'to taste']]"
Panzerotti (calzoni) fritti,Lievitati,"[['Flour', '250g'], ['Manitoba flour', '250g'], ['Water', '285g'], ['Extra virgin olive oil', '8g'], ['Fresh yeast', '5g'], ['Sugar', '5g'], ['Fine salt', '10g'], ['Fiordilatte cheese', '250g'], ['Tomato puree', '200g'], ['Fine salt', 'to taste'], ['Oregano', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Seed oil', 'to taste']]"
Cavolfiori gratinati,Contorni,"[['Cauliflower', '1kg'], ['Parmigiano Reggiano DOP', '35g'], ['Butter', '30g'], ['Flour', '20g'], ['Whole milk', '300g'], ['Nutmeg', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
